Cygwin Package Information
Package                                 Version                          Status
gv                                      3.7.4-1                          OK
gvfs                                    1.22.4-1                         OK
gvim                                    7.4.692-1                        OK
gzip                                    1.6-1                            OK
hexedit                                 1.2.13-2                         OK
hicolor-icon-theme                      0.12-1                           OK
hostname                                3.13-1                           OK
ibus                                    1.5.4-1                          OK
ibus-pinyin                             1.5.0-2                          OK
ibus-table                              1.5.0-1                          OK
ibus-table-chinese                      1.3.4-1                          OK
ibus-table-extraphrase                  1.3.9.20110826-1                 OK
ibus-table-others                       1.3.0.20100528-1                 OK
icoutils                                0.31.0-3                         OK
icu                                     4.8.1-1                          OK
ii                                      1.3-1                            OK
ImageMagick                             6.9.0.0-3                        OK
ImageMagick-doc                         6.9.0.0-3                        OK
indent                                  2.2.11-1                         OK
inetutils                               1.9.1-2                          OK
inetutils-server                        1.9.1-2                          OK
info                                    5.2-3                            OK
inputproto                              2.3.1-1                          OK
integrit                                4.1-1                            OK
intltool                                0.50.2-2                         OK
iodbcadm-gtk                            3.52.8-2                         OK
iodbctest                               3.52.8-2                         OK
ipc-utils                               1.0-1                            OK
irssi                                   0.8.17-2                         OK
isl                                     0.11.1-2                         OK
isl-debuginfo                           0.11.1-2                         OK
iso-codes                               3.56-1                           OK
isomaster                               1.3.9-2                          OK
itstool                                 2.0.2-1                          OK
jamvm                                   1.5.4-1                          OK
java-activation                         2.1.1_b31g-1                     OK
java-antlr                              2.7.7-4                          OK
java-asm                                3.3-1                            OK
java-batik                              1.7-1                            OK
java-bcel                               5.2-1                            OK
java-classpath                          0.98-2                           OK
java-commons-logging                    1.1.1-2                          OK
java-cup                                0.11a_beta20060608-1             OK
java-ecj                                3.7.2-1                          OK
java-jakarta-regexp                     1.5-1                            OK
java-javaee                             2.1.1_b31g-1                     OK
java-jaxrpc                             1.4-1                            OK
java-log4j                              1.2.16-1                         OK
java-mail                               2.1.1_b31g-1                     OK
java-mx4j                               3.0.2-1                          OK
java-rhino                              1.7R4-1                          OK
java-saaj                               1.4-1                            OK
java-servlet-api                        2.1.1_b31g-1                     OK
java-ws-jaxme                           0.5.2-1                          OK
